id,grant_title,group,count,mean,std,min,q1,total_amount,q3,max,box,min_nc,q1_nc,total_amount_nc,q3_nc,max_nc
222,Rheumatology,medicine,109747,0.908053425,1.198207502,0.5,0.531,0.652,0.926,128.297,0.3949,0,2,12,32,6608
223,Robotics,engineering,125004,0.794750948,1.253013083,0.5,0.5,0.55,0.716,98.292,0.2155,0,0,2,8,2372
224,Social Issues,social science,57252,0.691313262,0.633549196,0.5,0.5,0.507,0.656,35.806,0.1562,0,0,1,6,2395
225,"Social Sciences, Biomedical",social science,63675,0.892340727,1.264999494,0.5,0.521,0.633,0.9,168.348,0.3785,0,1,8,22,10326
226,"Social Sciences, Interdisciplinary",social science,139561,0.710391457,0.906565875,0.5,0.5,0.514,0.671,168.348,0.1705,0,0,1,7,10326
227,"Social Sciences, Mathematical Methods",social science,49047,1.072155104,2.904372809,0.5,0.51,0.609,0.906,407.432,0.3962,0,1,5,19,36665
228,Social Work,social science,49910,0.730002603,0.560631715,0.5,0.5,0.567,0.748,29.753,0.2478,0,0,4,13,2119
229,Sociology,social science,167232,0.783520649,1.159660276,0.5,0.5,0.508,0.708,98.735,0.2082,0,0,1,9,5944
230,Soil Science,biology,91767,0.868684915,0.739687575,0.5,0.551,0.662,0.906,38.037,0.35515,0,4,13,30,1947
231,Spectroscopy,science,156216,0.768746181,0.824482546,0.5,0.528,0.602,0.773,108.554,0.2456,0,2,7,18,10339
232,Sport Sciences,medicine,154645,0.892861315,0.915413124,0.5,0.548,0.669,0.933,92.127,0.3853,0,4,13,31,7567
233,Statistics & Probability,science,175613,1.090570444,3.485545733,0.5,0.53,0.632,0.916,525.73,0.3863,0,2,6,18,47428
234,Substance Abuse,social science,64358,0.85598897,0.881804589,0.5,0.553,0.655,0.889,97.262,0.336,0,5,14,31,6555
235,Surgery,medicine,739616,0.879907856,0.90309543,0.5,0.536,0.647,0.904,197.94,0.3673,0,2,9,23,13190
236,Telecommunications,engineering,574470,0.845436443,2.558896773,0.5,0.5,0.525,0.682,507.675,0.1821,0,0,1,5,7955
237,Theater,arts,38344,0.541655907,0.191618992,0.5,0.5,0.5,0.5,12.67,0,0,0,0,0,153
238,Thermodynamics,science,189179,0.904243169,1.022940561,0.5,0.54,0.66,0.923,122.102,0.3835,0,2,9,22,3489
239,Toxicology,medicine,220231,0.835848441,0.766665697,0.5,0.558,0.652,0.857,61.353,0.2993,0,6,14,31,5584
240,Transplantation,medicine,123545,0.802073786,0.666169893,0.5,0.541,0.631,0.829,55.698,0.288,0,3,10,23,4253
241,Transportation,city development,42676,0.939580368,1.04911043,0.5,0.527,0.649,0.937,53.599,0.4096,0,1,7,21,1372
242,Transportation Science & Technology,city development,93183,0.859182349,1.848447166,0.5,0.5,0.556,0.789,323.872,0.2891,0,0,2,10,1580
243,Tropical Medicine,medicine,56660,0.821706458,0.568802831,0.5,0.555,0.654,0.866,26.232,0.310725,0,4,11,24,1312
244,Urban Studies,city development,49122,0.805338854,0.7937705,0.5,0.5,0.567,0.804,34.754,0.3044,0,0,3,15,1457
